2023 09 SEPTEMBER,SNAKE RIVER CUTTHROAT,551,3.7,MYSTERY LAKE,FREMONT
2023 07 JULY,BROOK TROUT,455,5.4,ATLANTIC GULCH BIG,FREMONT
2023 07 JULY,BROOK TROUT,259,5.1,DUCK CREEK RES,ALBANY
2023 07 JULY,BROOK TROUT,1806,5.4,FIDDLERS LAKE,FREMONT
2023 07 JULY,BROOK TROUT,525,5.1,FIRE BOX LAKE,CARBON
2023 07 JULY,BROOK TROUT,500,5.1,JOHNSON CREEK POND,ALBANY
2023 07 JULY,BROOK TROUT,249,5.1,KENNEDY RES. EAST,ALBANY
2023 07 JULY,BROOK TROUT,500,5.1,MILLER LAKE,ALBANY
2023 07 JULY,BROOK TROUT,3852,5.2,OWEN LAKE,ALBANY
2023 07 JULY,BROWN TROUT,1516,4.6,RAWLINS CITY RES,CARBON
2023 07 JULY,BROWN TROUT,1018,4.6,ROB ROY RESERVOIR,ALBANY
2023 07 JULY,COLORADO RIVER CUTTHROAT,51,7.6,ASPEN POND,SUBLETTE
2023 07 JULY,COLORADO RIVER CUTTHROAT,98,7.3,GRACE RESERVOIR,SUBLETTE
2023 07 JULY,COLORADO RIVER CUTTHROAT,7276,7.6,HALFMOON LAKE,SUBLETTE
2023 07 JULY,COLORADO RIVER CUTTHROAT,3032,7.5,HALFMOON LAKE LITTLE,SUBLETTE
2023 07 JULY,COLORADO RIVER CUTTHROAT,483,10.6,LABARGE CREEK (USFS),LINCOLN
2023 07 JULY,COLORADO RIVER CUTTHROAT,51,7.6,LAURIE POND,SUBLETTE
2023 07 JULY,COLORADO RIVER CUTTHROAT,2510,7.4,PINEY LAKE MIDDLE,SUBLETTE
2023 07 JULY,COLORADO RIVER CUTTHROAT,502,7.6,SODA LAKE POND,SUBLETTE
2023 07 JULY,COLORADO RIVER CUTTHROAT,52,7.3,SPRING CREEK POND,SUBLETTE
2023 07 JULY,COLORADO RIVER CUTTHROAT,51,7.6,WILLOW POND,SUBLETTE
2023 07 JULY,EAGLE LAKE RBT,1480,8.7,BECK LAKE,PARK
2023 07 JULY,EAGLE LAKE RBT,15662,9,CRYSTAL RES,LARAMIE
2023 07 JULY,EAGLE LAKE RBT,7316,8.3,FONTENELLE RESERVOIR,LINCOLN
2023 07 JULY,EAGLE LAKE RBT,9477,8.6,FREMONT LAKE,SUBLETTE
2023 07 JULY,EAGLE LAKE RBT,15449,8.8,GRANITE RES,LARAMIE
2023 07 JULY,EAGLE LAKE RBT,815,8.3,HANGING LAKE,ALBANY
2023 07 JULY,EAGLE LAKE RBT,522,9.4,JESSICA'S POND,NATRONA
2023 07 JULY,EAGLE LAKE RBT,2550,9.4,MARIE LAKE,CARBON
2023 07 JULY,EAGLE LAKE RBT,810,8.2,MARKHAM RESERVOIR,PARK
2023 07 JULY,EAGLE LAKE RBT,2700,9.4,MIRROR LAKE,ALBANY
2023 07 JULY,EAGLE LAKE RBT,544,9,PARK RESERVOIR,SHERIDAN
2023 07 JULY,EAGLE LAKE RBT,33,9,PINEY CRUISE DITCH,SHERIDAN
2023 07 JULY,EAGLE LAKE RBT,552,9.6,POPO AGIE RIVER LITTLE SECTION 2,FREMONT
2023 07 JULY,FALL RAINBOW,352,9.9,BOULDER CREEK (BELOW BOULDER LAKE),SUBLETTE
2023 07 JULY,FALL RAINBOW,12500,5,GREEN RIVER (WN B TO FS),SUBLETTE
2023 07 JULY,FALL RAINBOW,24996,5.7,HOG PARK RESERVOIR,CARBON
2023 07 JULY,FALL RAINBOW,750,5.4,KENNEDY RES. EAST,ALBANY
2023 07 JULY,FALL RAINBOW,30007,5.6,ROB ROY RESERVOIR,ALBANY
2023 07 JULY,GOLDEN TROUT,960,4.7,MEADOWLARK LAKE,BIG HORN
2023 07 JULY,KOKANEE SALMON,82973,3.4,FREMONT LAKE,SUBLETTE
2023 07 JULY,KOKANEE SALMON,24147,3.7,GREEN RIVER LAKE LOWER,SUBLETTE
2023 07 JULY,KOKANEE SALMON,45003,3.7,NEW FORK LAKE LOWER,SUBLETTE
2023 07 JULY,SNAKE RIVER CUTTHROAT,549,3.6,ATLANTIC GULCH BIG,FREMONT
2023 07 JULY,SNAKE RIVER CUTTHROAT,450,5.6,DALLAS LAKE,TETON
2023 07 JULY,SNAKE RIVER CUTTHROAT,274,3.6,DRY CREEK LAKE,LINCOLN
2023 07 JULY,SNAKE RIVER CUTTHROAT,16296,5.8,GRASSY LAKE RESERVOIR,TETON
2023 07 JULY,SNAKE RIVER CUTTHROAT,139,16.9,SALT RIVER LOWER,LINCOLN
2023 07 JULY,SNAKE RIVER CUTTHROAT,1800,5.6,SODA LAKE,TETON
2023 07 JULY,TIGER TROUT (BKT X BNT),333,4.2,COW LAKE,FREMONT
2023 07 JULY,TIGER TROUT (BKT X BNT),512,2.8,MEEKS LAKE,SUBLETTE
2023 07 JULY,WALLEYE,6442,1.7,DEAVER RESERVOIR,PARK
2023 07 JULY,WALLEYE,14783,1.7,HARRINGTON RESERVOIR,BIG HORN
2023 07 JULY,WALLEYE,5081,1.7,LAK RESERVOIR,WESTON
2023 07 JULY,WALLEYE,6374,1.7,WARDELL RESERVOIR,BIG HORN
2023 07 JULY,WALLEYE,26371,1.6,WHEATLAND RESERVOIR 1,PLATTE
2023 07 JULY,YELLOWSTONE CUTTHROAT,802,2.9,CALVIN LAKE,SHERIDAN
2023 07 JULY,YELLOWSTONE CUTTHROAT,440,9.4,FOOL CREEK,SHERIDAN
2023 07 JULY,YELLOWSTONE CUTTHROAT,210,8.8,KITTY CREEK POND,PARK
2023 07 JULY,YELLOWSTONE CUTTHROAT,498,2.9,LAKE CREEK,SHERIDAN
2023 07 JULY,YELLOWSTONE CUTTHROAT,660,9.4,LICK CREEK,SHERIDAN
2023 07 JULY,YELLOWSTONE CUTTHROAT,6002,2.9,LITTLE BIGHORN RIVER (ABV DG),SHERIDAN
2023 07 JULY,YELLOWSTONE CUTTHROAT,525,9.4,PETE'S POND,FREMONT
2023 07 JULY,YELLOWSTONE CUTTHROAT,275,9.4,TONGUE RL (SNKS-UP),SHERIDAN
2023 07 JULY,YELLOWSTONE CUTTHROAT,525,9.4,TROUT CREEK LAKE,FREMONT
2023 07 JULY,YELLOWSTONE CUTTHROAT,2162,8.9,WIND RIVER LAKE,TETON
2023 06 JUNE,BEAR RIVER CUTTHROAT,16426,6.8,FONTENELLE RESERVOIR,LINCOLN
2023 06 JUNE,BEAR RIVER CUTTHROAT,3450,8.7,SULPHUR CREEK RESERVOIR,UINTA
2023 06 JUNE,BEAR RIVER CUTTHROAT,4768,7.3,UP ICE POND LOWER,UINTA
2023 06 JUNE,BLUEGILL,60,2.2,BADWATER POND,FREMONT
2023 06 JUNE,BLUEHEAD SUCKER,1000,0,MCKINNEY CREEK,CARBON
2023 06 JUNE,BLUEHEAD SUCKER,1258,0,MUDDY CREEK (LOWER),CARBON
2023 06 JUNE,BROOK TROUT,301,5.1,DUCK POND,SHERIDAN
2023 06 JUNE,BROOK TROUT,977,4.8,FOOTE CREEK,CARBON
2023 06 JUNE,BROOK TROUT,1500,4.6,GOOD RESERVOIR 2,CARBON
2023 06 JUNE,BROOK TROUT,1000,4.5,HORSE CREEK 2 (ALB-HDWTR),ALBANY
2023 06 JUNE,BROOK TROUT,1000,4.8,MULE CREEK,CARBON
2023 06 JUNE,BROOK TROUT,545,4.5,OTTER CREEK,NATRONA
2023 06 JUNE,BROOK TROUT,12483,4.7,POLE MTN. BEAVER PDS.,ALBANY
2023 06 JUNE,BROOK TROUT,499,4.8,WICK RESERVOIR 1,CARBON
2023 06 JUNE,BROOK TROUT,499,4.8,WICK RESERVOIR 2,CARBON
2023 06 JUNE,BROOK TROUT,499,4.8,WICK RESERVOIR 3,CARBON
2023 06 JUNE,BROWN TROUT,1005,4.7,BIG SANDY RIVER (RES TO BUCKSKIN CROSSING),SUBLETTE
2023 06 JUNE,BROWN TROUT,500,4.1,CRYSTAL RES,LARAMIE
2023 06 JUNE,BROWN TROUT,5002,4.1,HATTIE LAKE,ALBANY
2023 06 JUNE,BROWN TROUT,2517,4.1,TWIN BUTTES RES,ALBANY
2023 06 JUNE,BROWN TROUT,5002,4.1,WHEATLAND RESERVOIR 3,ALBANY
2023 06 JUNE,COLORADO RIVER CUTTHROAT,254,8.3,BUCK CREEK RESERVOIR,SUBLETTE
2023 06 JUNE,COLORADO RIVER CUTTHROAT,405,12.2,MOUNTAIN VIEW POND,UINTA
2023 06 JUNE,COLORADO RIVER CUTTHROAT,100,7.5,SAWMILL CREEK,SUBLETTE
2023 06 JUNE,EAGLE LAKE RBT,1025,8.4,BARBER LAKE,ALBANY
2023 06 JUNE,EAGLE LAKE RBT,2037,8.2,BECK LAKE,PARK
2023 06 JUNE,EAGLE LAKE RBT,125,8.4,BIG GOOSE CR(2 BEAVER CR),SHERIDAN
2023 06 JUNE,EAGLE LAKE RBT,917,8.8,BIG SANDY RIVER (RES TO BUCKSKIN CROSSING),SUBLETTE
2023 06 JUNE,EAGLE LAKE RBT,11066,8.2,BOULDER LAKE,SUBLETTE
2023 06 JUNE,EAGLE LAKE RBT,5000,9.1,BROOKS LAKE,FREMONT
2023 06 JUNE,EAGLE LAKE RBT,1069,9.1,BROOKS LAKE CREEK,FREMONT
2023 06 JUNE,EAGLE LAKE RBT,300,8.4,BUFFALO WETLANDS POND,JOHNSON
2023 06 JUNE,EAGLE LAKE RBT,286,8.5,COLONEL ROGERS POND,ALBANY
2023 06 JUNE,EAGLE LAKE RBT,1614,8.5,COOK LAKE,CROOK
2023 06 JUNE,EAGLE LAKE RBT,156,8.6,FAIRGROUNDS POND 1,SWEETWATER
2023 06 JUNE,EAGLE LAKE RBT,499,8.6,FAIRGROUNDS POND 2,SWEETWATER
2023 06 JUNE,EAGLE LAKE RBT,199,8.6,FAIRGROUNDS POND 3,SWEETWATER
2023 06 JUNE,EAGLE LAKE RBT,160798,8.4,FLAMING GORGE RESERVOIR,SWEETWATER
2023 06 JUNE,EAGLE LAKE RBT,23871,7.8,FONTENELLE RESERVOIR,LINCOLN
2023 06 JUNE,EAGLE LAKE RBT,10200,7.9,FREMONT LAKE,SUBLETTE
2023 06 JUNE,EAGLE LAKE RBT,3008,9.2,FRYE LAKE,FREMONT
2023 06 JUNE,EAGLE LAKE RBT,330,7.7,H DIAMOND W POND,HOT SPRINGS
2023 06 JUNE,EAGLE LAKE RBT,1014,8.2,HANGING LAKE,ALBANY
2023 06 JUNE,EAGLE LAKE RBT,499,8.6,HOMESTEADER PARK POND,PARK
2023 06 JUNE,EAGLE LAKE RBT,1016,8.8,HUCK FINN POND,ALBANY
2023 06 JUNE,EAGLE LAKE RBT,350,8.4,MAVRAKIS FISHING POND,SHERIDAN
2023 06 JUNE,EAGLE LAKE RBT,1508,7.8,MEADOWLARK LAKE,BIG HORN
2023 06 JUNE,EAGLE LAKE RBT,70,7.9,MIDDLE FORK POND,JOHNSON
2023 06 JUNE,EAGLE LAKE RBT,2472,8.3,NEW CODY RESERVOIR,PARK
2023 06 JUNE,EAGLE LAKE RBT,2503,8.6,OWEN LAKE,ALBANY
2023 06 JUNE,EAGLE LAKE RBT,401,8.4,PANTHER POND,CAMPBELL
2023 06 JUNE,EAGLE LAKE RBT,499,9.2,PETE'S POND,FREMONT
2023 06 JUNE,EAGLE LAKE RBT,275,7.9,PINES LODGE POND,JOHNSON
2023 06 JUNE,EAGLE LAKE RBT,66,8.5,PINEY CRUISE DITCH,SHERIDAN
2023 06 JUNE,EAGLE LAKE RBT,350,8.4,RANCHESTER CITY POND,SHERIDAN
2023 06 JUNE,EAGLE LAKE RBT,386,9.1,SCOUT POND,FREMONT
2023 06 JUNE,EAGLE LAKE RBT,100,8.4,SHERIDAN FAIRGROUND POND,SHERIDAN
2023 06 JUNE,EAGLE LAKE RBT,2239,8.4,SIBLEY LAKE,SHERIDAN
